company_name,job_title,job_des,job_location,exp_req,edu_req,cert_req
Smart Food Safe Solutions Inc,Software Testing Internship,"Selected intern's day-to-day responsibilities include: 1. Reviewing software requirements and preparing test cases 2. Execute test cases (manual or automated) and analyze results 3. Evaluate product code according to specifications 4. Report bugs and errors to development teams 5. Work with cross-functional teams to ensure quality throughout the software development lifecycle 6. Exposure to regression, API or performance testing tools will be added advantage",Bengaluru,0,students or freshers can apply who: are available for full time (in-office) internship have relevant skills and interests,-
Mobiveil,Embedded Software Testing,Good in different type of testing and proficient in Python Based Test Script Automation Good experienced in Embedded system testing and should own a module/component end 2 end. Must be willing to test manually if tests canâ€™t be automated due to complexity,Bangalore,4+ Years,Btech/ MCA,should own a module/component end 2 end
Open Systems International,Senior Engineer - Software Testing ,"Specific on-the-job training will be provided. In this position - located in our ITPB, Whitefield, Bangalore, India office - you will have the following responsibilities: Work with software development groups that create the product as well as engineering groups that deploy the product. Work with scrum team(s) to ensure high quality products and superior customer satisfaction. Author, execute and maintain test charters, test cases, procedures and plans, automated test scripts and code. Design, develop, implement and improve various test methodologies, plans and automation. Review defect descriptions, requirements, and designs to incorporate into test plans. Installation automation, test automation, release automation and system administration. Build and Configure Continuous Integration setup for test environments.",Bengaluru,Strong hands-on 2+ yearsâ€™ experience on Test Automation. 3 to 6 years of software Quality Assurance / Testing experience.,"Masterâ€™s degree in Computer Science, Software Engineering or equivalent.","Experience with Quality Assurance within an Agile methodology. Experience with automation frameworks (Selenium, Robot, Apache JMeter). Experience with evaluating, recommending, and deploying new tools and technologies to continually improve the efficiency and effectiveness of the Quality Assurance process. Experience with various database technologies (such as MySQL, Cassandra, MongoDB). Experience in server virtualization, especially VMWare and VSphere."
